"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97"
"126138s",0.906,0.891,0.875,0.884,0.856,0.827,0.878,0.86,0.903,0,0.377,0.4,0.491,0.533,0.708,0.788,0.782,0.763,0.591,0.669,0.703,0,0.395,0.424,0.501,0.372,0.248,0.449,0.614,0.464,0.53,0.545,0.501,0,0.439,0.449,0.079,0.158,0.091,0.233,0.226,0.288,0.156,0.187,0.076,0,0.466,0.978,0.064,0.047,0.016,0.109,0.196,0.193,0.076,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.011,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.005,0.005,0,0.378,0.474,0.00700000000000001,0.012,0.01,0.003,0.004,0.003,0.00600000000000001,0.00600000000000001,0.005,0,0.449,0.002,0.00600000000000001,0.004,0.00800000000000001,0.001,0.002,0.00900000000000001,0.003,0.00600000000000001,0.003,0,0.43,0.859
"127155s",0.904,0.89,0.875,0.881,0.858,0.826,0.877,0.862,0.904,0,0.373,0.4,0.488,0.535,0.704,0.785,0.782,0.762,0.598,0.674,0.709,0,0.395,0.424,0.465,0.379,0.249,0.445,0.616,0.465,0.539,0.556,0.514,0,0.437,0.45,0.085,0.166,0.1,0.233,0.225,0.299,0.177,0.202,0.081,0,0.463,0.982,0.065,0.05,0.017,0.113,0.195,0.199,0.08,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.011,0.00800000000000001,0.003,0.002,0.00600000000000001,0.00800000000000001,0.005,0.005,0,0.379,0.474,0.00700000000000001,0.012,0.01,0.003,0.004,0.003,0.00600000000000001,0.00600000000000001,0.005,0,0.449,0.002,0.00600000000000001,0.004,0.00800000000000001,0.001,0.002,0.00900000000000001,0.003,0.00600000000000001,0.003,0,0.427,0.859
"128173s",0.902,0.891,0.876,0.883,0.859,0.828,0.878,0.863,0.905,0,0.375,0.4,0.496,0.539,0.704,0.79,0.788,0.767,0.601,0.677,0.711,0,0.396,0.425,0.464,0.378,0.253,0.452,0.623,0.469,0.535,0.554,0.516,0,0.436,0.45,0.089,0.175,0.107,0.234,0.227,0.297,0.192,0.213,0.086,0,0.463,0.989,0.067,0.052,0.018,0.114,0.198,0.203,0.082,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.011,0.00800000000000001,0.003,0.002,0.00600000000000001,0.00800000000000001,0.005,0.005,0,0.378,0.465,0.00700000000000001,0.012,0.01,0.003,0.004,0.003,0.00600000000000001,0.00600000000000001,0.005,0,0.449,0.002,0.00600000000000001,0.004,0.00800000000000001,0.001,0.002,0.00900000000000001,0.003,0.00600000000000001,0.003,0,0.424,0.859
"129191s",0.9,0.89,0.876,0.885,0.861,0.829,0.88,0.864,0.906,0,0.376,0.4,0.497,0.539,0.701,0.792,0.789,0.768,0.603,0.677,0.71,0,0.395,0.426,0.464,0.379,0.255,0.453,0.624,0.472,0.536,0.556,0.52,0,0.436,0.448,0.094,0.184,0.117,0.236,0.229,0.301,0.212,0.224,0.092,0,0.461,0.996,0.069,0.055,0.02,0.116,0.201,0.207,0.083,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.011,0.00800000000000001,0.003,0.002,0.00600000000000001,0.00800000000000001,0.005,0.005,0,0.379,0.464,0.00700000000000001,0.012,0.01,0.003,0.004,0.003,0.00600000000000001,0.00600000000000001,0.005,0,0.45,0.002,0.00700000000000001,0.005,0.00900000000000001,0.002,0.003,0.01,0.004,0.00700000000000001,0.004,0,0.421,0.86
"130209s",0.897,0.889,0.875,0.885,0.861,0.832,0.881,0.863,0.906,0,0.375,0.4,0.493,0.532,0.697,0.792,0.788,0.768,0.603,0.678,0.71,0,0.394,0.426,0.459,0.379,0.259,0.454,0.621,0.471,0.536,0.553,0.518,0,0.435,0.449,0.099,0.189,0.126,0.236,0.229,0.303,0.231,0.235,0.096,0,0.457,1,0.071,0.058,0.021,0.118,0.203,0.214,0.087,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.011,0.00800000000000001,0.003,0.002,0.00600000000000001,0.00800000000000001,0.005,0.005,0,0.378,0.461,0.00700000000000001,0.012,0.01,0.003,0.004,0.003,0.00600000000000001,0.00600000000000001,0.005,0,0.449,0.002,0.00600000000000001,0.004,0.00800000000000001,0.001,0.001,0.00900000000000001,0.003,0.00600000000000001,0.003,0,0.417,0.86
"131227s",0.898,0.891,0.877,0.887,0.863,0.833,0.881,0.864,0.907,0,0.375,0.4,0.497,0.535,0.698,0.795,0.791,0.77,0.605,0.68,0.712,0,0.395,0.427,0.465,0.383,0.265,0.456,0.625,0.474,0.536,0.553,0.522,0,0.434,0.447,0.105,0.191,0.137,0.238,0.231,0.305,0.255,0.248,0.102,0,0.456,1.007,0.072,0.06,0.022,0.12,0.205,0.217,0.088,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.011,0.00800000000000001,0.003,0.002,0.00600000000000001,0.00800000000000001,0.005,0.005,0,0.379,0.457,0.00700000000000001,0.012,0.01,0.003,0.004,0.003,0.00600000000000001,0.00600000000000001,0.005,0,0.45,0.002,0.00700000000000001,0.005,0.00900000000000001,0.002,0.002,0.01,0.004,0.00700000000000001,0.004,0,0.414,0.86
"132245s",0.898,0.892,0.878,0.888,0.865,0.835,0.882,0.865,0.908,0,0.375,0.399,0.498,0.534,0.697,0.796,0.792,0.771,0.607,0.68,0.711,0,0.394,0.427,0.468,0.388,0.264,0.458,0.626,0.476,0.536,0.554,0.524,0,0.433,0.447,0.111,0.192,0.149,0.239,0.232,0.308,0.277,0.262,0.109,0,0.454,1.013,0.074,0.063,0.024,0.122,0.208,0.222,0.09,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.011,0.00800000000000001,0.003,0.002,0.00600000000000001,0.00800000000000001,0.005,0.005,0,0.379,0.455,0.00700000000000001,0.012,0.01,0.003,0.004,0.003,0.00600000000000001,0.00600000000000001,0.005,0,0.45,0.002,0.00700000000000001,0.005,0.00900000000000001,0.002,0.002,0.01,0.004,0.00700000000000001,0.004,0,0.412,0.861
"133263s",0.901,0.891,0.877,0.889,0.866,0.838,0.883,0.864,0.908,0,0.375,0.4,0.494,0.531,0.695,0.797,0.793,0.773,0.607,0.682,0.711,0,0.394,0.428,0.466,0.389,0.263,0.46,0.626,0.475,0.536,0.551,0.522,0,0.433,0.445,0.116,0.197,0.162,0.239,0.233,0.31,0.301,0.274,0.115,0,0.453,1.02,0.075,0.066,0.026,0.123,0.21,0.226,0.095,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.011,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.005,0.005,0,0.379,0.453,0.00700000000000001,0.012,0.01,0.003,0.004,0.003,0.00600000000000001,0.00600000000000001,0.005,0,0.451,0.002,0.00700000000000001,0.005,0.00900000000000001,0.002,0.002,0.01,0.004,0.00700000000000001,0.004,0,0.409,0.861
"134281s",0.901,0.892,0.879,0.891,0.868,0.839,0.884,0.866,0.909,0,0.375,0.4,0.5,0.537,0.696,0.799,0.796,0.776,0.609,0.685,0.714,0,0.394,0.428,0.468,0.391,0.264,0.464,0.632,0.478,0.536,0.552,0.527,0,0.43,0.444,0.124,0.202,0.177,0.242,0.235,0.313,0.331,0.286,0.124,0,0.453,1.028,0.076,0.069,0.027,0.125,0.212,0.229,0.097,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.011,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.005,0.005,0,0.379,0.449,0.00700000000000001,0.012,0.00900000000000001,0.003,0.004,0.003,0.005,0.00600000000000001,0.005,0,0.452,0.002,0.00700000000000001,0.005,0.00900000000000001,0.002,0.002,0.01,0.004,0.00700000000000001,0.004,0,0.407,0.861
"135298s",0.903,0.894,0.881,0.892,0.87,0.841,0.885,0.866,0.91,0,0.375,0.399,0.503,0.538,0.696,0.8,0.798,0.778,0.611,0.685,0.713,0,0.395,0.429,0.467,0.391,0.267,0.468,0.636,0.48,0.536,0.55,0.526,0,0.431,0.443,0.129,0.205,0.191,0.243,0.236,0.314,0.358,0.284,0.132,0,0.45,1.033,0.078,0.072,0.029,0.127,0.214,0.233,0.098,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.005,0.005,0,0.379,0.445,0.00700000000000001,0.012,0.00900000000000001,0.003,0.004,0.003,0.005,0.00600000000000001,0.005,0,0.453,0.002,0.00700000000000001,0.005,0.00900000000000001,0.002,0.002,0.01,0.004,0.00700000000000001,0.004,0,0.405,0.862
"136316s",0.903,0.893,0.88,0.892,0.87,0.842,0.887,0.865,0.91,0,0.376,0.399,0.5,0.535,0.694,0.799,0.797,0.778,0.612,0.685,0.713,0,0.395,0.429,0.466,0.389,0.266,0.468,0.634,0.479,0.533,0.547,0.523,0,0.429,0.442,0.136,0.207,0.206,0.244,0.237,0.318,0.382,0.284,0.139,0,0.45,1.04,0.08,0.075,0.031,0.128,0.216,0.236,0.1,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.005,0.005,0,0.379,0.445,0.00700000000000001,0.012,0.00900000000000001,0.003,0.004,0.003,0.005,0.00600000000000001,0.005,0,0.453,0.002,0.00600000000000001,0.004,0.00700000000000001,0.001,0.001,0.00900000000000001,0.003,0.00600000000000001,0.003,0,0.4,0.862
"137334s",0.906,0.896,0.881,0.895,0.872,0.844,0.888,0.867,0.911,0,0.376,0.4,0.507,0.542,0.694,0.802,0.8,0.78,0.614,0.685,0.713,0,0.395,0.43,0.474,0.388,0.267,0.47,0.639,0.482,0.531,0.547,0.526,0,0.429,0.44,0.143,0.211,0.222,0.246,0.238,0.32,0.407,0.283,0.147,0,0.448,1.044,0.082,0.079,0.032,0.129,0.217,0.238,0.1,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.38,0.444,0.00700000000000001,0.012,0.00900000000000001,0.003,0.004,0.003,0.005,0.00600000000000001,0.005,0,0.453,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.01,0.004,0.00700000000000001,0.004,0,0.396,0.864
"138352s",0.905,0.895,0.88,0.895,0.872,0.845,0.888,0.865,0.91,0,0.376,0.4,0.504,0.538,0.692,0.802,0.799,0.781,0.615,0.685,0.713,0,0.394,0.43,0.469,0.389,0.267,0.472,0.638,0.481,0.531,0.545,0.521,0,0.427,0.44,0.149,0.214,0.238,0.247,0.239,0.323,0.429,0.279,0.155,0,0.446,1.048,0.083,0.082,0.034,0.13,0.219,0.244,0.105,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.005,0.005,0,0.38,0.441,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.00600000000000001,0.005,0,0.454,0.002,0.00700000000000001,0.005,0.00900000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.004,0,0.393,0.863
"139370s",0.907,0.897,0.883,0.897,0.875,0.845,0.888,0.867,0.912,0,0.376,0.4,0.51,0.545,0.693,0.804,0.802,0.783,0.617,0.688,0.715,0,0.395,0.431,0.475,0.393,0.27,0.475,0.643,0.484,0.532,0.544,0.527,0,0.426,0.439,0.153,0.218,0.255,0.247,0.24,0.324,0.446,0.28,0.163,0,0.443,1.05,0.085,0.086,0.035,0.132,0.221,0.246,0.106,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.38,0.436,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.00600000000000001,0.005,0,0.455,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.004,0,0.39,0.865
"140388s",0.905,0.897,0.884,0.898,0.876,0.847,0.89,0.868,0.912,0,0.375,0.401,0.513,0.549,0.691,0.806,0.803,0.785,0.619,0.686,0.714,0,0.395,0.432,0.472,0.392,0.272,0.478,0.646,0.486,0.532,0.542,0.527,0,0.427,0.438,0.159,0.225,0.272,0.25,0.242,0.327,0.462,0.285,0.173,0,0.441,1.052,0.086,0.09,0.037,0.133,0.223,0.249,0.108,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.38,0.438,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.005,0.005,0,0.456,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.004,0,0.386,0.864
"141406s",0.91,0.897,0.881,0.9,0.875,0.846,0.887,0.864,0.909,0,0.374,0.401,0.534,0.569,0.689,0.806,0.805,0.785,0.614,0.683,0.713,0,0.394,0.432,0.5,0.388,0.272,0.481,0.65,0.483,0.519,0.531,0.518,0,0.425,0.435,0.163,0.233,0.285,0.249,0.24,0.321,0.458,0.285,0.178,0,0.437,1.051,0.088,0.094,0.038,0.133,0.222,0.246,0.105,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.38,0.436,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.005,0.005,0,0.456,0.002,0.00600000000000001,0.004,0.00700000000000001,0.001,0.001,0.00800000000000001,0.003,0.00600000000000001,0.003,0,0.386,0.864
"142424s",0.911,0.9,0.885,0.902,0.878,0.849,0.889,0.867,0.911,0,0.375,0.4,0.534,0.57,0.695,0.81,0.809,0.788,0.619,0.683,0.714,0,0.395,0.433,0.505,0.394,0.278,0.487,0.655,0.488,0.52,0.534,0.523,0,0.427,0.436,0.164,0.242,0.3,0.252,0.244,0.327,0.467,0.289,0.19,0,0.438,1.051,0.091,0.099,0.04,0.134,0.225,0.251,0.105,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00900000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.379,0.435,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.005,0.005,0,0.458,0.002,0.00600000000000001,0.004,0.00700000000000001,0.001,0.001,0.00800000000000001,0.003,0.00600000000000001,0.003,0,0.38,0.864
"143442s",0.908,0.9,0.886,0.903,0.88,0.851,0.892,0.868,0.913,0,0.376,0.401,0.523,0.559,0.691,0.81,0.808,0.789,0.622,0.682,0.713,0,0.395,0.434,0.493,0.398,0.279,0.487,0.654,0.49,0.523,0.537,0.525,0,0.426,0.436,0.162,0.249,0.311,0.252,0.244,0.331,0.476,0.297,0.2,0,0.435,1.051,0.092,0.104,0.041,0.136,0.227,0.258,0.108,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.381,0.434,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.005,0.005,0,0.457,0.002,0.00600000000000001,0.004,0.00700000000000001,0.001,0.001,0.00800000000000001,0.003,0.00600000000000001,0.003,0,0.375,0.864
"144460s",0.909,0.9,0.887,0.905,0.882,0.852,0.893,0.869,0.914,0,0.377,0.402,0.525,0.561,0.689,0.812,0.81,0.791,0.623,0.683,0.714,0,0.396,0.435,0.491,0.404,0.281,0.488,0.656,0.492,0.523,0.537,0.527,0,0.425,0.435,0.162,0.261,0.326,0.255,0.247,0.335,0.49,0.311,0.21,0,0.434,1.051,0.094,0.109,0.043,0.138,0.229,0.261,0.111,0.00600000000000001,0.00600000000000001,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.382,0.433,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.005,0.005,0,0.459,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.004,0,0.372,0.863
"145478s",0.91,0.9,0.886,0.906,0.883,0.854,0.894,0.869,0.914,0,0.376,0.402,0.525,0.562,0.689,0.813,0.811,0.792,0.625,0.684,0.714,0,0.397,0.435,0.492,0.405,0.283,0.491,0.658,0.494,0.522,0.536,0.526,0,0.424,0.434,0.16,0.273,0.341,0.256,0.248,0.337,0.501,0.324,0.219,0,0.433,1.051,0.095,0.114,0.044,0.138,0.23,0.265,0.114,0.00600000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.382,0.432,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.00600000000000001,0.005,0,0.46,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.004,0,0.368,0.863
"146496s",0.909,0.9,0.886,0.907,0.884,0.855,0.895,0.869,0.915,0,0.377,0.402,0.52,0.557,0.687,0.813,0.812,0.794,0.627,0.687,0.715,0,0.398,0.436,0.49,0.411,0.285,0.492,0.659,0.495,0.522,0.535,0.524,0,0.424,0.434,0.158,0.283,0.357,0.257,0.249,0.339,0.515,0.337,0.225,0,0.43,1.049,0.096,0.119,0.045,0.14,0.232,0.27,0.119,0.00600000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.383,0.429,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.005,0.005,0,0.461,0.002,0.00600000000000001,0.004,0.00700000000000001,0.001,0.001,0.00800000000000001,0.003,0.00600000000000001,0.003,0,0.366,0.863
"147514s",0.909,0.901,0.889,0.91,0.885,0.855,0.895,0.87,0.915,0,0.376,0.402,0.514,0.551,0.685,0.813,0.811,0.793,0.629,0.689,0.717,0,0.398,0.436,0.508,0.423,0.286,0.493,0.659,0.497,0.521,0.532,0.526,0,0.424,0.432,0.16,0.299,0.378,0.261,0.253,0.344,0.526,0.348,0.228,0,0.429,1.048,0.098,0.126,0.047,0.141,0.234,0.275,0.121,0.00600000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.382,0.428,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.005,0.005,0,0.462,0.002,0.00600000000000001,0.004,0.00700000000000001,0.001,0.001,0.00800000000000001,0.003,0.00600000000000001,0.002,0,0.36,0.863
"148532s",0.914,0.903,0.888,0.91,0.887,0.856,0.895,0.87,0.914,0,0.377,0.403,0.536,0.569,0.687,0.817,0.816,0.796,0.63,0.692,0.718,0,0.399,0.436,0.514,0.423,0.287,0.497,0.665,0.498,0.517,0.527,0.525,0,0.423,0.432,0.166,0.312,0.389,0.259,0.251,0.34,0.535,0.364,0.233,0,0.426,1.047,0.1,0.133,0.049,0.141,0.234,0.273,0.12,0.00600000000000001,0.00800000000000001,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.383,0.427,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.002,0.005,0.005,0.005,0,0.462,0.002,0.00600000000000001,0.004,0.00700000000000001,0.001,0.001,0.00800000000000001,0.003,0.00600000000000001,0.003,0,0.359,0.862
"149550s",0.912,0.903,0.887,0.912,0.889,0.859,0.896,0.871,0.915,0,0.378,0.403,0.531,0.569,0.687,0.817,0.816,0.798,0.632,0.69,0.717,0,0.4,0.437,0.512,0.426,0.292,0.499,0.666,0.5,0.516,0.527,0.525,0,0.422,0.432,0.167,0.325,0.404,0.259,0.251,0.343,0.542,0.374,0.236,0,0.424,1.047,0.101,0.14,0.05,0.142,0.236,0.279,0.12,0.00600000000000001,0.00800000000000001,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.383,0.425,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.003,0.005,0.005,0.005,0,0.464,0.002,0.00600000000000001,0.004,0.00700000000000001,0.001,0.001,0.00800000000000001,0.003,0.00600000000000001,0.002,0,0.355,0.862
"150568s",0.914,0.904,0.89,0.914,0.891,0.86,0.897,0.871,0.916,0,0.378,0.404,0.528,0.567,0.685,0.819,0.817,0.799,0.633,0.69,0.717,0,0.4,0.438,0.51,0.43,0.293,0.501,0.667,0.502,0.517,0.529,0.524,0,0.422,0.432,0.171,0.337,0.419,0.262,0.253,0.348,0.556,0.387,0.241,0,0.423,1.047,0.103,0.149,0.051,0.143,0.237,0.283,0.121,0.00600000000000001,0.00800000000000001,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.384,0.424,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.002,0.005,0.005,0.005,0,0.465,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.003,0,0.353,0.86
"151586s",0.913,0.903,0.889,0.915,0.891,0.86,0.897,0.871,0.917,0,0.378,0.405,0.522,0.567,0.683,0.819,0.818,0.8,0.634,0.692,0.718,0,0.402,0.439,0.508,0.432,0.298,0.504,0.669,0.505,0.517,0.527,0.525,0,0.421,0.432,0.173,0.348,0.431,0.262,0.253,0.348,0.569,0.398,0.245,0,0.421,1.045,0.103,0.156,0.053,0.144,0.239,0.286,0.123,0.00600000000000001,0.00900000000000001,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.385,0.422,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.002,0.005,0.005,0.005,0,0.466,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.003,0,0.35,0.859
"152604s",0.913,0.903,0.889,0.915,0.891,0.861,0.898,0.871,0.917,0,0.378,0.405,0.523,0.565,0.68,0.819,0.818,0.801,0.635,0.692,0.717,0,0.402,0.439,0.507,0.435,0.299,0.505,0.669,0.505,0.514,0.525,0.52,0,0.422,0.431,0.177,0.363,0.447,0.264,0.255,0.353,0.583,0.411,0.248,0,0.42,1.045,0.102,0.163,0.054,0.145,0.24,0.29,0.126,0.00600000000000001,0.00900000000000001,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.385,0.422,0.00600000000000001,0.011,0.00900000000000001,0.003,0.004,0.002,0.005,0.005,0.005,0,0.467,0.002,0.00600000000000001,0.004,0.00700000000000001,0.001,0.001,0.00800000000000001,0.003,0.00600000000000001,0.002,0,0.347,0.859
"153622s",0.914,0.904,0.89,0.918,0.895,0.864,0.898,0.873,0.918,0,0.379,0.406,0.526,0.568,0.681,0.821,0.821,0.804,0.637,0.695,0.719,0,0.403,0.44,0.511,0.441,0.302,0.508,0.672,0.509,0.514,0.523,0.522,0,0.421,0.431,0.184,0.38,0.462,0.266,0.257,0.355,0.595,0.422,0.251,0,0.419,1.045,0.103,0.169,0.056,0.146,0.242,0.293,0.127,0.00600000000000001,0.01,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00800000000000001,0.004,0.005,0,0.385,0.42,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.002,0.005,0.005,0.005,0,0.468,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.003,0,0.344,0.858
"154640s",0.913,0.905,0.892,0.919,0.896,0.864,0.9,0.873,0.918,0,0.379,0.406,0.526,0.568,0.679,0.822,0.822,0.805,0.638,0.693,0.716,0,0.404,0.44,0.513,0.443,0.303,0.511,0.674,0.511,0.512,0.522,0.52,0,0.421,0.43,0.192,0.395,0.474,0.267,0.258,0.357,0.604,0.432,0.253,0,0.418,1.045,0.102,0.175,0.057,0.147,0.243,0.297,0.128,0.00600000000000001,0.011,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00900000000000001,0.004,0.005,0,0.387,0.418,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.002,0.005,0.005,0.004,0,0.469,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.003,0,0.342,0.857
"155658s",0.915,0.905,0.891,0.92,0.897,0.866,0.9,0.872,0.918,0,0.379,0.407,0.526,0.569,0.678,0.822,0.823,0.806,0.64,0.692,0.713,0,0.405,0.441,0.512,0.446,0.305,0.514,0.674,0.512,0.509,0.521,0.516,0,0.421,0.431,0.198,0.41,0.484,0.268,0.258,0.359,0.613,0.441,0.253,0,0.416,1.043,0.1,0.18,0.058,0.148,0.245,0.3,0.13,0.00600000000000001,0.012,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00900000000000001,0.004,0.004,0,0.386,0.415,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.002,0.005,0.005,0.004,0,0.47,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.003,0,0.34,0.856
"156676s",0.916,0.905,0.89,0.921,0.897,0.867,0.9,0.872,0.918,0,0.38,0.407,0.524,0.57,0.675,0.823,0.823,0.807,0.64,0.693,0.711,0,0.406,0.442,0.514,0.449,0.308,0.517,0.675,0.513,0.508,0.52,0.513,0,0.421,0.43,0.205,0.428,0.498,0.27,0.26,0.362,0.625,0.451,0.255,0,0.416,1.044,0.1,0.186,0.059,0.149,0.246,0.304,0.133,0.00600000000000001,0.013,0,0.005,0.00700000000000001,0.00800000000000001,0.01,0.00800000000000001,0.003,0.002,0.005,0.00900000000000001,0.004,0.005,0,0.388,0.415,0.00700000000000001,0.011,0.00900000000000001,0.003,0.004,0.002,0.005,0.005,0.004,0,0.471,0.002,0.00700000000000001,0.005,0.00800000000000001,0.002,0.002,0.00900000000000001,0.004,0.00700000000000001,0.003,0,0.338,0.855
